City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
Novy Urengoy,27,RU,1626069688,47,66.0833,76.6333,50.9,16.58
Staryy Nadym,87,RU,1626069688,47,65.6118,72.6842,52.25,13.09
Alta Floresta,37,BR,1626069689,49,-9.8756,-56.0861,63.91,2.71
Puerto Ayora,17,EC,1626069689,88,-0.7393,-90.3518,70.56,1.99
Bluff,78,NZ,1626069689,79,-46.6,168.3333,46.17,8.52
Hermanus,54,ZA,1626069690,70,-34.4187,19.2345,54.9,13.89
Portland,0,US,1626069661,69,45.5234,-122.6762,73.38,1.01
Bridgetown,64,BB,1626069690,82,13.1,-59.6167,79.95,21.43
Rikitea,23,PF,1626069691,79,-23.1203,-134.9692,74.14,18.45
Ushuaia,83,AR,1626069691,92,-54.8,-68.3,29.61,7.14
São João da Barra,0,BR,1626069691,91,-21.6403,-41.0511,65.3,3.09
Hofn,2,IS,1626069692,88,64.2539,-15.2082,51.82,7.23
Mataura,99,NZ,1626069692,99,-46.1927,168.8643,40.12,3.11
Muncar,56,ID,1626069692,65,-8.4333,114.3333,84.52,9.1
Zhigansk,84,RU,1626069693,72,66.7697,123.3711,50.9,7.09
Dikson,100,RU,1626069693,98,73.5069,80.5464,33.46,23.58
Xushan,100,CN,1626069693,69,30.1764,121.2457,97.95,7.56
Acapulco de Juárez,96,MX,1626069694,84,16.8634,-99.8901,79.07,2.84
East London,81,ZA,1626069694,27,-33.0153,27.9116,69.87,18.79
Saint Paul Harbor,100,US,1626069564,93,57.79,-152.4072,49.03,22.03
Dongsheng,100,CN,1626069695,41,39.8161,109.9776,79.03,7.94
Whitehorse,92,CA,1626069608,58,60.7161,-135.0538,57.02,13.0
Qaanaaq,78,GL,1626069695,72,77.484,-69.3632,36.07,3.58
Broken Hill,0,AU,1626069478,27,-31.95,141.4333,64.11,11.5
Hilo,100,US,1626069483,90,19.7297,-155.09,77.29,1.16
Tasiilaq,100,GL,1626069696,97,65.6145,-37.6368,48.36,10.56
Asău,9,RO,1626069696,67,46.4333,26.4,75.4,3.13
Santa Rosa,94,PH,1626068921,70,14.3122,121.1114,89.58,10.92
Chokurdakh,99,RU,1626069697,45,70.6333,147.9167,49.68,12.26
Loukhi,84,RU,1626069697,74,66.0764,33.0381,63.72,2.84
Port Blair,100,IN,1626069697,75,11.6667,92.75,83.1,14.88
Arraial do Cabo,0,BR,1626069698,87,-22.9661,-42.0278,67.15,4.81
Santa Cruz de la Sierra,20,BO,1626069404,83,-17.8,-63.1667,67.46,5.75
Faanui,8,PF,1626069698,73,-16.4833,-151.75,80.4,20.87
Jamestown,90,US,1626069532,97,42.097,-79.2353,69.3,0.0
Avarua,16,CK,1626069698,81,-21.2078,-159.775,76.68,17.72
Paraopeba,0,BR,1626069699,61,-19.2757,-44.4033,55.24,3.22
Chiplūn,100,IN,1626069699,96,17.5333,73.5167,77.83,4.76
Yellowknife,75,CA,1626069604,85,62.456,-114.3525,60.57,3.44
Coquimbo,100,CL,1626069700,84,-29.9533,-71.3436,54.86,3.29
Iqaluit,46,CA,1626069700,76,63.7506,-68.5145,47.7,10.0
Egvekinot,91,RU,1626069700,71,66.3167,-179.1667,53.82,4.7
Khatanga,96,RU,1626069701,38,71.9667,102.5,58.71,11.7
Hambantota,40,LK,1626069701,70,6.1241,81.1185,88.14,12.66
Kawalu,58,ID,1626069701,44,-7.3817,108.2082,89.04,4.94
Cape Town,75,ZA,1626069666,88,-33.9258,18.4232,55.11,4.0
Bredasdorp,62,ZA,1626069702,59,-34.5322,20.0403,45.82,7.09
Anadyr,0,RU,1626069670,56,64.75,177.4833,73.9,11.18
Albany,100,US,1626069702,96,42.6001,-73.9662,64.35,4.85
Pacifica,90,US,1626069703,91,37.6138,-122.4869,63.05,1.99
Esperance,100,AU,1626069703,50,-33.8667,121.9,62.62,25.46
Busselton,47,AU,1626069703,77,-33.65,115.3333,62.04,27.11
Dali,59,CN,1626069703,53,25.7,100.1833,78.51,7.9
Ilulissat,34,GL,1626069704,76,69.2167,-51.1,44.62,0.0
Nabīnagar,49,BD,1626069408,58,23.8917,90.9733,91.53,2.08
Hobart,75,AU,1626069704,75,-42.8794,147.3294,56.23,1.01
Guaymas,43,MX,1626069705,69,27.9333,-110.9,83.73,9.73
Hithadhoo,73,MV,1626069705,69,-0.6,73.0833,81.36,1.9
Lovington,69,US,1626069705,94,32.944,-103.3485,68.41,1.01
Nísia Floresta,22,BR,1626069706,95,-6.0911,-35.2086,70.83,7.45
Coyhaique,90,CL,1626069706,96,-45.5752,-72.0662,35.46,9.46
Reinosa,100,ES,1626069706,98,42.9996,-4.138,50.36,5.91
Buraidah,37,SA,1626069707,8,26.326,43.975,102.34,4.63
Ahipara,100,NZ,1626069707,90,-35.1667,173.1667,51.08,29.84
Norrtälje,29,SE,1626069707,55,59.758,18.705,69.24,2.39
São Filipe,71,CV,1626069708,77,14.8961,-24.4956,72.19,3.74
Hong Kong,99,HK,1626069527,72,22.2855,114.1577,91.45,7.0
Punta Arenas,54,CL,1626069708,79,-53.15,-70.9167,35.11,27.0
Dunedin,100,NZ,1626069708,59,-45.8742,170.5036,45.81,1.99
Copiapó,18,CL,1626069709,69,-27.3667,-70.3333,55.72,2.53
Gimli,17,CA,1626069709,54,50.6336,-96.9907,75.22,9.91
Champerico,70,GT,1626069709,79,14.3,-91.9167,79.72,4.97
Banjar,82,ID,1626069710,64,-8.19,114.9675,84.06,3.27
Mackay,5,AU,1626069710,71,-21.15,149.2,75.69,11.81
Itagi,74,BR,1626069711,98,-14.1628,-40.0061,62.49,1.45
Berlevåg,0,NO,1626069711,82,70.8578,29.0864,58.8,14.97
Barrow,20,US,1626069711,71,71.2906,-156.7887,46.42,6.91
Matagami,0,CA,1626069712,64,49.7502,-77.6328,50.59,3.96
Hokitika,45,NZ,1626069712,80,-42.7167,170.9667,43.86,5.7
Bira,37,RU,1626069712,56,49.0,132.4667,86.83,4.9
Pisco,91,PE,1626069713,86,-13.7,-76.2167,60.03,1.74
Mossendjo,74,CG,1626069713,96,-2.9506,12.7261,64.78,2.17
Houma,1,US,1626069714,94,29.5958,-90.7195,79.0,0.0
Hukuntsi,0,BW,1626069714,37,-24.0,21.75,49.82,12.88
Nipawin,74,CA,1626069714,40,53.3668,-104.0009,73.47,10.63
Samarai,91,PG,1626069715,86,-10.6167,150.6667,79.39,14.0
Changping,100,CN,1626069715,95,40.2186,116.2197,77.52,8.01
Tura,42,IN,1626069715,55,25.5198,90.2201,90.72,3.27
Broome,100,US,1626069716,90,42.2506,-75.833,66.02,1.01
Caravelas,0,BR,1626069716,88,-17.7125,-39.2481,67.5,2.57
Soe,69,ID,1626069716,31,-9.8607,124.284,80.47,11.12
Kontagora,72,NG,1626069717,82,10.3999,5.4695,73.76,3.67
Kaitangata,96,NZ,1626069717,74,-46.2817,169.8464,43.93,8.55
New Norfolk,98,AU,1626069718,74,-42.7826,147.0587,55.89,5.93
Stepnyak,91,KZ,1626069718,39,52.8339,70.7803,78.04,18.54
Solhan,0,TR,1626069718,23,38.9634,41.0293,80.89,4.56
Touros,15,BR,1626069719,91,-5.1989,-35.4608,72.93,11.59
Lüderitz,28,NA,1626069719,86,-26.6481,15.1594,54.3,7.7
Koundara,100,GN,1626069719,98,12.4833,-13.3,72.28,2.91
Kumukh,18,RU,1626069719,62,42.1704,47.1161,70.07,4.88
Bambous Virieux,35,MU,1626069720,58,-20.3428,57.7575,74.21,18.54
Bilma,92,NE,1626069720,39,18.6853,12.9164,85.96,7.61
Northam,100,GB,1626069721,97,51.0333,-4.2167,59.4,6.49
Cabra,1,ES,1626069721,67,37.4725,-4.4421,80.04,1.99
Beringovskiy,43,RU,1626069721,48,63.05,179.3167,67.14,7.78
Honiara,34,SB,1626069722,84,-9.4333,159.95,81.86,4.43
Morón,99,AR,1626069647,86,-34.6534,-58.6198,56.97,3.65
Arrondissement d'Ajaccio,0,FR,1626069722,60,42.0,8.9167,75.69,3.44
Saint-Philippe,40,RE,1626069723,77,-21.3585,55.7679,75.22,14.47
Baruun-Urt,99,MN,1626069723,33,46.6806,113.2792,89.22,7.74
Pimenteiras,6,BR,1626069723,73,-6.2453,-41.4192,69.17,6.96
Mar del Plata,0,AR,1626069600,65,-38.0023,-57.5575,52.09,3.0
Nome,82,US,1626069724,75,64.5011,-165.4064,57.16,6.42
Roald,75,NO,1626069724,72,62.5833,6.1333,65.34,6.91
Buta,100,CD,1626069725,92,2.7858,24.73,72.25,2.37
Hasaki,92,JP,1626069720,77,35.7333,140.8333,90.28,8.84
Port Augusta,44,AU,1626069725,43,-32.5,137.7667,63.72,10.65
Mocuba,98,MZ,1626069725,74,-16.8392,36.9856,70.07,0.49
Lensk,98,RU,1626069726,29,60.7253,114.9278,79.25,3.06
Naze,93,JP,1626069726,79,28.3667,129.4833,80.94,6.33
Weinan,29,CN,1626069727,35,34.5036,109.5089,97.84,5.01
Balabac,38,PH,1626069727,67,7.9868,117.0645,86.4,7.72
Padang,85,ID,1626069725,80,-0.9492,100.3543,87.85,9.46
Tautira,22,PF,1626069727,80,-17.7333,-149.15,77.02,21.0
Ribeira Grande,99,PT,1626069728,73,38.5167,-28.7,66.9,13.18
Mahon,0,ES,1626069728,94,39.8885,4.2658,75.76,8.05
Vaini,92,TO,1626069729,86,-21.2,-175.2,75.87,9.22
Iskateley,45,RU,1626069729,53,67.6803,53.1512,53.49,14.27
Kapaa,70,US,1626069729,80,22.0752,-159.319,80.58,3.0
Norman Wells,93,CA,1626069730,57,65.282,-126.8329,60.37,3.51
Aden,100,YE,1626069668,64,12.7794,45.0367,88.3,21.0
Pacific Grove,63,US,1626069730,95,36.6177,-121.9166,66.6,3.0
Watsa,75,CD,1626069730,95,3.0372,29.5355,65.19,1.48
Salinas,32,US,1626069597,92,36.6777,-121.6555,67.01,1.5
Cururupu,64,BR,1626069731,98,-1.8283,-44.8683,72.95,3.22
Kavieng,98,PG,1626069731,74,-2.5744,150.7967,84.11,14.65
Kununurra,93,AU,1626069731,14,-15.7667,128.7333,91.38,14.97
Rio Grande,22,BR,1626069732,91,-32.035,-52.0986,57.94,8.34
Sur,84,OM,1626069732,60,22.5667,59.5289,91.72,9.19
Emporia,81,US,1626069713,88,38.4039,-96.1817,62.78,8.57
Aklavik,82,CA,1626069732,68,68.2191,-135.0107,43.84,8.59
Gizo Government Station,25,SB,1626069733,71,-8.103,156.8419,83.89,7.94
Cidreira,6,BR,1626069733,90,-30.1811,-50.2056,59.22,9.46
Lourdes,90,FR,1626069733,88,43.1,-0.05,66.94,6.91
Fort Nelson,70,CA,1626069734,57,58.8053,-122.7002,59.04,2.48
Tuktoyaktuk,90,CA,1626069734,75,69.4541,-133.0374,39.25,14.0
Atuona,24,PF,1626069734,72,-9.8,-139.0333,78.48,21.47
Tiarei,10,PF,1626069735,80,-17.5333,-149.3333,77.02,21.74
Airai,98,TL,1626069735,29,-8.9266,125.4092,74.55,5.91
Crestview,40,US,1626069588,93,30.7621,-86.5705,80.24,0.0
George Town,20,MY,1626069561,68,5.4112,100.3354,87.89,5.99
Yangi Marg`ilon,95,UZ,1626069736,57,40.4272,71.7189,80.02,9.22
Cap Malheureux,27,MU,1626069736,70,-19.9842,57.6142,74.46,13.0
Sumenep,99,ID,1626069736,59,-7.0167,113.8667,86.7,13.15
Torbay,90,CA,1626069737,98,47.6666,-52.7314,55.58,10.36
Codrington,97,AU,1626069737,87,-38.2667,141.9667,52.74,12.01
Amalāpuram,95,IN,1626069737,67,16.5833,82.0167,82.78,6.17
Avera,4,US,1626069738,85,33.194,-82.5271,73.06,6.87
Vila Franca do Campo,35,PT,1626069738,80,37.7167,-25.4333,66.61,9.6
La Orilla,100,MX,1626069643,87,17.9833,-102.2333,77.85,2.64
Clyde River,18,CA,1626069738,66,70.4692,-68.5914,45.19,7.2
Bathsheba,64,BB,1626069739,82,13.2167,-59.5167,79.68,20.87
Saint George,77,US,1626069605,27,37.1041,-113.5841,95.34,7.74
Cherskiy,4,RU,1626069739,34,68.75,161.3,81.91,18.61
Aswān,0,EG,1626069740,20,24.0934,32.907,95.97,7.61
Tazovsky,44,RU,1626069740,61,67.4667,78.7,43.43,12.95
Fortuna,90,US,1626069740,92,40.5982,-124.1573,60.42,1.01
